#    L    TT             EE             BB             TE          
     2   0.131880E+12   0.308821E-01   0.177735E-05   0.158092E+05
     3   0.650058E+10   0.396900E-01   0.355558E-05   0.719701E+04
     4   0.159339E+10   0.344964E-01   0.592792E-05   0.399376E+04
     5   0.619853E+09   0.230945E-01   0.889552E-05   0.228966E+04
     6   0.295362E+09   0.129514E-01   0.124598E-04   0.116536E+04
     7   0.139896E+09   0.700005E-02   0.166224E-04   0.517327E+03
     8   0.625406E+08   0.450095E-02   0.213852E-04   0.266546E+03
     9   0.365228E+08   0.360261E-02   0.267505E-04   0.198855E+03
    10   0.281382E+08   0.307391E-02   0.327203E-04   0.165710E+03
    11   0.210594E+08   0.259507E-02   0.392974E-04   0.130302E+03
    12   0.153936E+08   0.227731E-02   0.464842E-04   0.105773E+03
    13   0.125518E+08   0.219437E-02   0.542835E-04   0.100794E+03
    14   0.111493E+08   0.228587E-02   0.626981E-04   0.108097E+03
    15   0.946150E+07   0.247049E-02   0.717311E-04   0.113549E+03
    16   0.707965E+07   0.272830E-02   0.813852E-04   0.106988E+03
    17   0.469416E+07   0.310189E-02   0.916634E-04   0.942945E+02
    18   0.302006E+07   0.363494E-02   0.102569E-03   0.843471E+02
    19   0.213795E+07   0.433104E-02   0.114104E-03   0.822175E+02
    20   0.191483E+07   0.516768E-02   0.126271E-03   0.901062E+02
    21   0.199769E+07   0.613840E-02   0.139074E-03   0.102585E+03
    22   0.204621E+07   0.725414E-02   0.152515E-03   0.113464E+03
    23   0.199093E+07   0.850707E-02   0.166596E-03   0.121153E+03
    24   0.183511E+07   0.989429E-02   0.181320E-03   0.125237E+03
    25   0.160204E+07   0.114204E-01   0.196687E-03   0.125375E+03
    26   0.132266E+07   0.130978E-01   0.212701E-03   0.121569E+03
    27   0.103840E+07   0.149373E-01   0.229362E-03   0.115062E+03
    28   0.788103E+06   0.169329E-01   0.246672E-03   0.107409E+03
    29   0.589623E+06   0.191108E-01   0.264632E-03   0.100193E+03
    30   0.452163E+06   0.214996E-01   0.283242E-03   0.948421E+02
    31   0.371269E+06   0.240957E-01   0.302503E-03   0.921848E+02
    32   0.335983E+06   0.269150E-01   0.322415E-03   0.924542E+02
    33   0.322985E+06   0.299172E-01   0.342978E-03   0.941781E+02
    34   0.309368E+06   0.331276E-01   0.364191E-03   0.954166E+02
    35   0.286252E+06   0.365532E-01   0.386053E-03   0.940477E+02
    36   0.251459E+06   0.402225E-01   0.408565E-03   0.888184E+02
    37   0.215641E+06   0.441609E-01   0.431724E-03   0.820313E+02
    38   0.190210E+06   0.483567E-01   0.455529E-03   0.764256E+02
    39   0.176819E+06   0.527992E-01   0.479978E-03   0.728845E+02
    40   0.174677E+06   0.574810E-01   0.505069E-03   0.718257E+02
    41   0.182512E+06   0.623989E-01   0.530801E-03   0.733732E+02
    42   0.197138E+06   0.675658E-01   0.557172E-03   0.764757E+02
    43   0.214890E+06   0.729985E-01   0.584178E-03   0.797877E+02
    44   0.232101E+06   0.787117E-01   0.611818E-03   0.819621E+02
    45   0.245098E+06   0.847173E-01   0.640089E-03   0.816515E+02
    46   0.251254E+06   0.910224E-01   0.668988E-03   0.779925E+02
    47   0.252117E+06   0.976274E-01   0.698514E-03   0.720562E+02
    48   0.250279E+06   0.104524E+00   0.728663E-03   0.653973E+02
    49   0.248337E+06   0.111703E+00   0.759434E-03   0.595707E+02
    50   0.248892E+06   0.119166E+00   0.790823E-03   0.561312E+02
    51   0.253846E+06   0.126918E+00   0.822830E-03   0.562155E+02
    52   0.262270E+06   0.134962E+00   0.855451E-03   0.592866E+02
    53   0.272537E+06   0.143301E+00   0.888686E-03   0.643890E+02
    54   0.283030E+06   0.151936E+00   0.922532E-03   0.705664E+02
    55   0.292145E+06   0.160872E+00   0.956988E-03   0.768620E+02
    56   0.298528E+06   0.170105E+00   0.992054E-03   0.824332E+02
    57   0.301785E+06   0.179633E+00   0.102773E-02   0.868968E+02
    58   0.301774E+06   0.189453E+00   0.106401E-02   0.899849E+02
    59   0.298369E+06   0.199565E+00   0.110090E-02   0.914301E+02
    60   0.291461E+06   0.209962E+00   0.113839E-02   0.909653E+02
    61   0.281081E+06   0.220636E+00   0.117650E-02   0.884997E+02
    62   0.267784E+06   0.231584E+00   0.121521E-02   0.846475E+02
    63   0.252267E+06   0.242804E+00   0.125454E-02   0.801991E+02
    64   0.235244E+06   0.254293E+00   0.129447E-02   0.759447E+02
    65   0.217446E+06   0.266050E+00   0.133502E-02   0.726749E+02
    66   0.199452E+06   0.278069E+00   0.137619E-02   0.709780E+02
    67   0.181182E+06   0.290343E+00   0.141798E-02   0.706362E+02
    68   0.162403E+06   0.302861E+00   0.146038E-02   0.712299E+02
    69   0.142897E+06   0.315617E+00   0.150341E-02   0.723397E+02
    70   0.122457E+06   0.328603E+00   0.154707E-02   0.735457E+02
    71   0.100940E+06   0.341817E+00   0.159136E-02   0.744687E+02
    72   0.784098E+05   0.355252E+00   0.163629E-02   0.748912E+02
    73   0.549874E+05   0.368905E+00   0.168185E-02   0.746367E+02
    74   0.308031E+05   0.382764E+00   0.172806E-02   0.735293E+02
    75   0.599343E+04   0.396817E+00   0.177492E-02   0.713939E+02
    76  -0.192634E+05   0.411050E+00   0.182243E-02   0.681382E+02
    77  -0.446393E+05   0.425452E+00   0.187060E-02   0.640034E+02
    78  -0.697681E+05   0.440011E+00   0.191944E-02   0.593124E+02
    79  -0.942839E+05   0.454715E+00   0.196894E-02   0.543880E+02
    80  -0.117823E+06   0.469554E+00   0.201911E-02   0.495529E+02
    81  -0.140061E+06   0.484516E+00   0.206996E-02   0.450740E+02
    82  -0.160822E+06   0.499591E+00   0.212148E-02   0.409944E+02
