#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.131880E+12   0.308803E-01   0.000000E+00   0.158092E+05   0.419423E-04  -0.233874E+04  -0.377506E-03
     3   0.650058E+10   0.396865E-01   0.000000E+00   0.719701E+04   0.403895E-05  -0.153233E+03  -0.263207E-03
     4   0.159340E+10   0.344905E-01   0.000000E+00   0.399376E+04   0.173766E-05  -0.471292E+02  -0.188299E-03
     5   0.619864E+09   0.230856E-01   0.000000E+00   0.228966E+04   0.986113E-06  -0.214908E+02  -0.116159E-03
     6   0.295377E+09   0.129389E-01   0.000000E+00   0.116536E+04   0.589056E-06  -0.104987E+02  -0.587942E-04
     7   0.139916E+09   0.698343E-02   0.000000E+00   0.517327E+03   0.406422E-06  -0.473668E+01  -0.255263E-04
     8   0.625649E+08   0.447957E-02   0.000000E+00   0.266546E+03   0.344458E-06  -0.242293E+01  -0.820559E-05
     9   0.365524E+08   0.357586E-02   0.000000E+00   0.198855E+03   0.321008E-06  -0.164225E+01   0.205565E-05
    10   0.281734E+08   0.304119E-02   0.000000E+00   0.165710E+03   0.310021E-06  -0.115456E+01   0.740861E-05
    11   0.211004E+08   0.255577E-02   0.000000E+00   0.130302E+03   0.299673E-06  -0.850291E+00   0.767297E-05
    12   0.154405E+08   0.223082E-02   0.000000E+00   0.105773E+03   0.277232E-06  -0.783620E+00   0.392125E-05
    13   0.126046E+08   0.214008E-02   0.000000E+00   0.100794E+03   0.244738E-06  -0.783510E+00  -0.132744E-05
    14   0.112078E+08   0.222316E-02   0.000000E+00   0.108097E+03   0.216220E-06  -0.679175E+00  -0.548731E-05
    15   0.952553E+07   0.239875E-02   0.000000E+00   0.113550E+03   0.202305E-06  -0.462348E+00  -0.719111E-05
    16   0.714886E+07   0.264689E-02   0.000000E+00   0.106989E+03   0.202581E-06  -0.241605E+00  -0.671633E-05
    17   0.476813E+07   0.301020E-02   0.000000E+00   0.942955E+02   0.209193E-06  -0.838607E-01  -0.524786E-05
    18   0.309824E+07   0.353234E-02   0.000000E+00   0.843483E+02   0.214286E-06  -0.224939E-01  -0.392542E-05
    19   0.221972E+07   0.421689E-02   0.000000E+00   0.822189E+02   0.214499E-06  -0.261719E-01  -0.319782E-05
    20   0.199947E+07   0.504134E-02   0.000000E+00   0.901079E+02   0.208605E-06  -0.534713E-01  -0.323690E-05
    21   0.208439E+07   0.599924E-02   0.000000E+00   0.102587E+03   0.199371E-06  -0.844547E-01  -0.379801E-05
    22   0.213408E+07   0.710152E-02   0.000000E+00   0.113466E+03   0.190177E-06  -0.106499E+00  -0.454142E-05
    23   0.207902E+07   0.834035E-02   0.000000E+00   0.121156E+03   0.183060E-06  -0.114501E+00  -0.514787E-05
    24   0.192240E+07   0.971281E-02   0.000000E+00   0.125240E+03   0.179195E-06  -0.106536E+00  -0.534935E-05
    25   0.168747E+07   0.112235E-01   0.000000E+00   0.125378E+03   0.177666E-06  -0.858841E-01  -0.505478E-05
    26   0.140512E+07   0.128848E-01   0.000000E+00   0.121573E+03   0.177102E-06  -0.579586E-01  -0.428958E-05
    27   0.111676E+07   0.147076E-01   0.000000E+00   0.115067E+03   0.176328E-06  -0.316275E-01  -0.336840E-05
    28   0.861211E+06   0.166859E-01   0.000000E+00   0.107414E+03   0.174477E-06  -0.149692E-01  -0.266488E-05
    29   0.656332E+06   0.188458E-01   0.000000E+00   0.100199E+03   0.171683E-06  -0.964373E-02  -0.250764E-05
    30   0.511331E+06   0.212160E-01   0.000000E+00   0.948489E+02   0.168325E-06  -0.143683E-01  -0.306896E-05
    31   0.421780E+06   0.237927E-01   0.000000E+00   0.921923E+02   0.164785E-06  -0.224805E-01  -0.394610E-05
    32   0.376755E+06   0.265920E-01   0.000000E+00   0.924625E+02   0.161400E-06  -0.271021E-01  -0.461746E-05
    33   0.352989E+06   0.295736E-01   0.000000E+00   0.941873E+02   0.158324E-06  -0.257329E-01  -0.465121E-05
    34   0.327634E+06   0.327628E-01   0.000000E+00   0.954267E+02   0.155654E-06  -0.180423E-01  -0.379582E-05
    35   0.291886E+06   0.361664E-01   0.000000E+00   0.940587E+02   0.153424E-06  -0.799327E-02  -0.242600E-05
