#    L    TT             EE             TE             PP             TP          
     2   0.131880E+12   0.308803E-01   0.158092E+05   0.870045E+09  -0.218008E+11
     3   0.650058E+10   0.396865E-01   0.719701E+04   0.106038E+09  -0.170440E+10
     4   0.159340E+10   0.344905E-01   0.399376E+04   0.519059E+08  -0.577499E+09
     5   0.619864E+09   0.230856E-01   0.228966E+04   0.319622E+08  -0.279966E+09
     6   0.295377E+09   0.129389E-01   0.116536E+04   0.201993E+08  -0.142673E+09
     7   0.139916E+09   0.698343E-02   0.517327E+03   0.145233E+08  -0.663915E+08
     8   0.625649E+08   0.447957E-02   0.266546E+03   0.127029E+08  -0.347727E+08
     9   0.365524E+08   0.357586E-02   0.198855E+03   0.121359E+08  -0.240120E+08
    10   0.281734E+08   0.304119E-02   0.165710E+03   0.119585E+08  -0.171378E+08
    11   0.211004E+08   0.255577E-02   0.130302E+03   0.117528E+08  -0.127794E+08
    12   0.154405E+08   0.223082E-02   0.105773E+03   0.110253E+08  -0.119011E+08
    13   0.126046E+08   0.214008E-02   0.100794E+03   0.984926E+07  -0.120059E+08
    14   0.112078E+08   0.222316E-02   0.108097E+03   0.879106E+07  -0.104873E+08
    15   0.952553E+07   0.239875E-02   0.113550E+03   0.829892E+07  -0.718707E+07
    16   0.714886E+07   0.264689E-02   0.106989E+03   0.837555E+07  -0.377779E+07
    17   0.476813E+07   0.301020E-02   0.942955E+02   0.870908E+07  -0.131810E+07
    18   0.309824E+07   0.353234E-02   0.843483E+02   0.897641E+07  -0.355197E+06
    19   0.221972E+07   0.421689E-02   0.822189E+02   0.903533E+07  -0.414999E+06
    20   0.199947E+07   0.504134E-02   0.901079E+02   0.883117E+07  -0.851066E+06
    21   0.208439E+07   0.599924E-02   0.102587E+03   0.847868E+07  -0.134879E+07
    22   0.213408E+07   0.710152E-02   0.113466E+03   0.812118E+07  -0.170614E+07
    23   0.207902E+07   0.834035E-02   0.121156E+03   0.784692E+07  -0.183954E+07
    24   0.192240E+07   0.971281E-02   0.125240E+03   0.770799E+07  -0.171604E+07
    25   0.168747E+07   0.112235E-01   0.125378E+03   0.766674E+07  -0.138672E+07
    26   0.140512E+07   0.128848E-01   0.121573E+03   0.766504E+07  -0.937904E+06
    27   0.111676E+07   0.147076E-01   0.115067E+03   0.765251E+07  -0.512860E+06
    28   0.861211E+06   0.166859E-01   0.107414E+03   0.759155E+07  -0.243201E+06
