#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.131880E+12   0.158092E+05  -0.233874E+04   0.158092E+05   0.308803E-01  -0.377506E-03  -0.233874E+04  -0.377506E-03   0.419423E-04
     3   0.650058E+10   0.719701E+04  -0.153233E+03   0.719701E+04   0.396865E-01  -0.263207E-03  -0.153233E+03  -0.263207E-03   0.403895E-05
     4   0.159340E+10   0.399376E+04  -0.471292E+02   0.399376E+04   0.344905E-01  -0.188299E-03  -0.471292E+02  -0.188299E-03   0.173766E-05
     5   0.619864E+09   0.228966E+04  -0.214908E+02   0.228966E+04   0.230856E-01  -0.116159E-03  -0.214908E+02  -0.116159E-03   0.986112E-06
     6   0.295377E+09   0.116536E+04  -0.104987E+02   0.116536E+04   0.129389E-01  -0.587942E-04  -0.104987E+02  -0.587942E-04   0.589056E-06
     7   0.139916E+09   0.517327E+03  -0.473668E+01   0.517327E+03   0.698343E-02  -0.255263E-04  -0.473668E+01  -0.255263E-04   0.406422E-06
     8   0.625649E+08   0.266546E+03  -0.242293E+01   0.266546E+03   0.447957E-02  -0.820559E-05  -0.242293E+01  -0.820559E-05   0.344458E-06
     9   0.365524E+08   0.198855E+03  -0.164225E+01   0.198855E+03   0.357586E-02   0.205565E-05  -0.164225E+01   0.205565E-05   0.321008E-06
    10   0.281734E+08   0.165710E+03  -0.115456E+01   0.165710E+03   0.304119E-02   0.740861E-05  -0.115456E+01   0.740861E-05   0.310021E-06
    11   0.211004E+08   0.130302E+03  -0.850291E+00   0.130302E+03   0.255577E-02   0.767297E-05  -0.850291E+00   0.767297E-05   0.299673E-06
    12   0.154405E+08   0.105773E+03  -0.783620E+00   0.105773E+03   0.223082E-02   0.392125E-05  -0.783620E+00   0.392125E-05   0.277232E-06
    13   0.126046E+08   0.100794E+03  -0.783509E+00   0.100794E+03   0.214008E-02  -0.132744E-05  -0.783509E+00  -0.132744E-05   0.244738E-06
    14   0.112078E+08   0.108097E+03  -0.679175E+00   0.108097E+03   0.222316E-02  -0.548731E-05  -0.679175E+00  -0.548731E-05   0.216220E-06
    15   0.952552E+07   0.113550E+03  -0.462348E+00   0.113550E+03   0.239875E-02  -0.719111E-05  -0.462348E+00  -0.719111E-05   0.202305E-06
    16   0.714886E+07   0.106989E+03  -0.241664E+00   0.106989E+03   0.264689E-02  -0.671890E-05  -0.241664E+00  -0.671890E-05   0.202557E-06
    17   0.476813E+07   0.942955E+02  -0.838607E-01   0.942955E+02   0.301020E-02  -0.524786E-05  -0.838607E-01  -0.524786E-05   0.209193E-06
    18   0.309824E+07   0.843483E+02  -0.223843E-01   0.843483E+02   0.353234E-02  -0.392487E-05  -0.223843E-01  -0.392487E-05   0.214289E-06
    19   0.221972E+07   0.822189E+02  -0.261719E-01   0.822189E+02   0.421689E-02  -0.319782E-05  -0.261719E-01  -0.319782E-05   0.214499E-06
    20   0.199947E+07   0.901079E+02  -0.534923E-01   0.901079E+02   0.504134E-02  -0.323659E-05  -0.534923E-01  -0.323659E-05   0.208611E-06
    21   0.208439E+07   0.102587E+03  -0.844547E-01   0.102587E+03   0.599924E-02  -0.379801E-05  -0.844547E-01  -0.379801E-05   0.199371E-06
    22   0.213408E+07   0.113466E+03  -0.106493E+00   0.113466E+03   0.710152E-02  -0.454126E-05  -0.106493E+00  -0.454126E-05   0.190177E-06
    23   0.207902E+07   0.121156E+03  -0.114501E+00   0.121156E+03   0.834035E-02  -0.514787E-05  -0.114501E+00  -0.514787E-05   0.183060E-06
    24   0.192240E+07   0.125240E+03  -0.106540E+00   0.125240E+03   0.971281E-02  -0.534934E-05  -0.106540E+00  -0.534934E-05   0.179193E-06
    25   0.168747E+07   0.125378E+03  -0.858842E-01   0.125378E+03   0.112235E-01  -0.505478E-05  -0.858842E-01  -0.505478E-05   0.177666E-06
    26   0.140512E+07   0.121573E+03  -0.579640E-01   0.121573E+03   0.128848E-01  -0.428979E-05  -0.579640E-01  -0.428979E-05   0.177101E-06
    27   0.111676E+07   0.115067E+03  -0.316275E-01   0.115067E+03   0.147076E-01  -0.336840E-05  -0.316275E-01  -0.336840E-05   0.176328E-06
    28   0.861211E+06   0.107414E+03  -0.149680E-01   0.107414E+03   0.166859E-01  -0.266507E-05  -0.149680E-01  -0.266507E-05   0.174478E-06
    29   0.656332E+06   0.100199E+03  -0.964373E-02   0.100199E+03   0.188458E-01  -0.250764E-05  -0.964373E-02  -0.250764E-05   0.171683E-06
    30   0.511331E+06   0.948490E+02  -0.143642E-01   0.948490E+02   0.212160E-01  -0.306864E-05  -0.143642E-01  -0.306864E-05   0.168325E-06
    31   0.421780E+06   0.921923E+02  -0.224805E-01   0.921923E+02   0.237927E-01  -0.394610E-05  -0.224805E-01  -0.394610E-05   0.164785E-06
    32   0.376755E+06   0.924625E+02  -0.271024E-01   0.924625E+02   0.265920E-01  -0.461733E-05  -0.271024E-01  -0.461733E-05   0.161400E-06
    33   0.352989E+06   0.941873E+02  -0.257329E-01   0.941873E+02   0.295736E-01  -0.465121E-05  -0.257329E-01  -0.465121E-05   0.158324E-06
    34   0.327634E+06   0.954267E+02  -0.180443E-01   0.954267E+02   0.327628E-01  -0.379601E-05  -0.180443E-01  -0.379601E-05   0.155654E-06
    35   0.291886E+06   0.940587E+02  -0.799327E-02   0.940587E+02   0.361664E-01  -0.242600E-05  -0.799327E-02  -0.242600E-05   0.153424E-06
    36   0.243653E+06   0.888304E+02   0.371287E-04   0.888304E+02   0.398131E-01  -0.106739E-05   0.371287E-04  -0.106739E-05   0.151651E-06
    37   0.193685E+06   0.820442E+02   0.424343E-02   0.820442E+02   0.437284E-01  -0.228450E-06   0.424343E-02  -0.228450E-06   0.150334E-06
    38   0.153500E+06   0.764395E+02   0.401861E-02   0.764395E+02   0.479003E-01  -0.261952E-06   0.401861E-02  -0.261952E-06   0.149450E-06
    39   0.124869E+06   0.728994E+02   0.961925E-03   0.728994E+02   0.523183E-01  -0.916630E-06   0.961925E-03  -0.916630E-06   0.148898E-06
    40   0.107129E+06   0.718417E+02  -0.277580E-02   0.718417E+02   0.569751E-01  -0.179021E-05  -0.277580E-02  -0.179021E-05   0.148561E-06
    41   0.991383E+05   0.733902E+02  -0.543501E-02   0.733902E+02   0.618673E-01  -0.254160E-05  -0.543501E-02  -0.254160E-05   0.148332E-06
    42   0.978510E+05   0.764938E+02  -0.682118E-02   0.764938E+02   0.670078E-01  -0.307436E-05  -0.682118E-02  -0.307436E-05   0.148162E-06
